zone_id,jurisdiction_id,jurisdiction_name,zone_code,zone_name,category,min_lot_size_sf,min_lot_width_ft,max_density_dua,max_far,max_lot_coverage_pct,max_height_ft,max_stories,front_setback_ft,side_setback_ft,rear_setback_ft,parking_ratio,source_doc,source_citation,source_page,provenance,confidence,human_verified,notes
az-el-mirage:mu,az-el-mirage,City of El Mirage,MU,Mixed Urban,mixed-use,4000,40,TBD,TBD,90,30,2,10,5,10,,az-el-mirage-zoning,§ 154.053 Table of Zone Standards,,official-html,extracted,,side_setback_ft = interior side 5 (footnote *: 0 if fire-resistant per IBC/IFC); side-street 10. Height footnote **: may be exceeded with CUP. No density/FAR/parking columns.
az-el-mirage:nr,az-el-mirage,City of El Mirage,NR,Natural Reserve,open-space,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,,az-el-mirage-zoning,§ 154.053 Table of Zone Standards,,official-html,extracted,,Source reachable (HTTP 200 via browser User-Agent). All NR dimensional standards listed as 'per site plan' in the § 154.053 table — no fixed numeric values; hence TBD. NR preserves park/drainage/natural open space (§ 154.050(A)(1)).
az-el-mirage:ra,az-el-mirage,City of El Mirage,RA,Rural Area,residential,43560,120,TBD,TBD,25,30,2,30,20,30,,az-el-mirage-zoning,§ 154.053 Table of Zone Standards,,official-html,extracted,,"side_setback_ft = interior side minimum 20 (side-street also 20). Rear 30 generally; footnote **** reduces rear to 15 for developments over 30 acres. No density/FAR/parking columns. Lot area 43,560 sf = 1 acre."
az-el-mirage:sn,az-el-mirage,City of El Mirage,SN,Suburban Neighborhood,residential,5000,45,TBD,TBD,55,30,2,20,5,20,,az-el-mirage-zoning,§ 154.053 Table of Zone Standards,,official-html,extracted,,side_setback_ft = interior side 5 (side-street 10). No density/FAR/parking columns.
az-el-mirage:td,az-el-mirage,City of El Mirage,TD,Transit Development,mixed-use,1000,20,TBD,TBD,90,70,5,5,5,5,,az-el-mirage-zoning,§ 154.053 Table of Zone Standards,,official-html,extracted,,"All setbacks footnote *: 5 min, 0 if fire-resistant per IBC/IFC; side-street also 5. Height (70/5 stories) footnote **: may be exceeded with CUP. No density/FAR/parking columns."
az-el-mirage:uc,az-el-mirage,City of El Mirage,UC,Urban Corridor,commercial,2000,20,TBD,TBD,90,40,3,5,5,5,,az-el-mirage-zoning,§ 154.053 Table of Zone Standards,,official-html,extracted,,"All setbacks footnote *: 5 min, 0 if fire-resistant per IBC/IFC; side-street also 5. Height footnote **: may be exceeded with CUP. No density/FAR/parking columns."
az-eloy:bp,az-eloy,City of Eloy,BP,Business Park (BP),industrial,TBD,60,TBD,TBD,50,48,TBD,20,15,15,,az-eloy-zoning,Sec. 21-2-5.2; Sec. 21-2-5.4 (Table 2.5-2-5.4.B.),,official-html,extracted,,Min lot area not specified in table. Side adjacent to residential 30 ft; rear adjacent to residential 30 ft. Street side setback 10 ft. Lot coverage max 50%. Height 48 ft.
az-eloy:c-1,az-eloy,City of Eloy,C-1,Neighborhood Commercial District (C-1),commercial,TBD,TBD,TBD,TBD,40,36,TBD,15,10,10,,az-eloy-zoning,Sec. 21-2-3.2; Sec. 21-2-3.4 (Table 21-2-3.4.B.),,official-html,extracted,,"Max size of use/user 25,000 sf (a maximum, not a minimum lot area). Side adjacent to residential 20 ft; rear adjacent to residential 20 ft. Street side setback 10 ft. Lot coverage max 40%. Height 36 ft."
az-eloy:c-2,az-eloy,City of Eloy,C-2,General Commercial District (C-2),commercial,TBD,TBD,TBD,TBD,60,36,TBD,20,15,20,,az-eloy-zoning,Sec. 21-2-3.2; Sec. 21-2-3.4 (Table 21-2-3.4.B.),,official-html,extracted,,No max size-of-use listed. Side adjacent to residential 30 ft; rear adjacent to residential 30 ft. Street side setback 10 ft. Lot coverage max 60%. Height 36 ft (may exceed via conditional use permit).
az-eloy:i-1,az-eloy,City of Eloy,I-1,Light Industrial (I-1),industrial,TBD,100,TBD,TBD,60,48,TBD,20,15,15,,az-eloy-zoning,Sec. 21-2-5.2; Sec. 21-2-5.4 (Table 2.5-2-5.4.B.),,official-html,extracted,,Min lot area not specified in table. Side adjacent to residential 50 ft; rear adjacent to residential 50 ft. Street side setback 15 ft. Lot coverage max 60%. Height 48 ft.
az-eloy:i-2,az-eloy,City of Eloy,I-2,General Industrial (I-2),industrial,TBD,100,TBD,TBD,60,56,TBD,30,20,20,,az-eloy-zoning,Sec. 21-2-5.2; Sec. 21-2-5.4 (Table 2.5-2-5.4.B.),,official-html,extracted,,Min lot area not specified in table. Side adjacent to residential 75 ft; rear adjacent to residential 75 ft. Street side setback 15 ft. Lot coverage max 60%. Height 56 ft.
az-eloy:mu,az-eloy,City of Eloy,MU,Mixed-Use District (MU),mixed-use,7000,TBD,24,TBD,TBD,36,TBD,0,0,10,,az-eloy-zoning,Sec. 21-2-3.2; Sec. 21-2-3.4 (Table 21-2-3.4.B.),,official-html,extracted,,"Min lot 7,000 sf. Residential density 10-24 du/ac per Sec. 21-2-3.2 (table lists minimum 3 units). Front/side 0 ft; side and rear adjacent to residential 30 ft. Street side 10 ft. Height 36 ft; up to 48 ft for vertical mixed-use with residential above ground-floor commercial. Lot coverage not specified in table (shown as '-')."
az-eloy:osc,az-eloy,City of Eloy,OSC,Open Space Conservation District (OSC),open-space,871200,TBD,TBD,TBD,5,24,TBD,60,30,60,,az-eloy-zoning,Sec. 21-2-6.2; Sec. 21-2-6.4 (Table 2.6-2-6.4.B.),,official-html,extracted,,"Min lot dimension 20 acres (=871,200 sf). Lot coverage max 5%. Building height 24 ft."
az-eloy:osr,az-eloy,City of Eloy,OSR,Open Space Recreation District (OSR),open-space,217800,TBD,TBD,TBD,5,24,TBD,60,30,60,,az-eloy-zoning,Sec. 21-2-6.2; Sec. 21-2-6.4 (Table 2.6-2-6.4.B.),,official-html,extracted,,"Min lot dimension 5 acres (=217,800 sf). Lot coverage max 5%. Building height 24 ft."
az-eloy:pf,az-eloy,City of Eloy,PF,Public Facilities District (PF),special,TBD,TBD,TBD,TBD,TBD,35,TBD,TBD,TBD,TBD,,az-eloy-zoning,Sec. 21-2-4; Sec. 21-2-4.3 (Table 21-2-4.3.B.),,official-html,extracted,,"Lot area/width/depth: no requirement. Lot coverage: no maximum. Building height 35 ft (up to 55 ft where a 100 ft setback is provided, or per abutting district). Setbacks none except when abutting a Residential Zone: front equals the abutting residential zone's setback; side/rear to building or parking is 10 ft, increased 0.5 ft horizontal per vertical ft over 20 ft of height. Master Table 2.1-1 lists PF among Overlay Districts, but Sec. 21-2-4 establishes it as a standalone Public Facilities District with its own development-standards table; treated here as a base district."
az-eloy:r-2,az-eloy,City of Eloy,R-2,Small Lot Residential (R-2),residential,2500,25,12,TBD,75,36,TBD,15,0,10,,az-eloy-zoning,Sec. 21-2-2.2; Sec. 21-2-2.4 (Table 21-2-2.4.B.),,official-html,extracted,,"Standards vary by housing type. Reported row = single-family attached: min lot 2,500 sf, width 25 ft, density 12 du/ac, coverage 75%, front 15 ft, side 0 ft, rear 10 ft. Single-family detached: lot 3,500 sf, width 35 ft, density 10 du/ac, coverage 50%, side 5 ft, rear 10 ft. All other uses: site 7,000 sf, density 12 du/ac, coverage 50%, front 10 ft, side 10 ft, rear 25 ft. Street side 10-25 ft per row. Height 36 ft."
az-eloy:r-3,az-eloy,City of Eloy,R-3,Multiple Family Residential (R-3),residential,7000,TBD,24,TBD,60,40,TBD,10,10,25,,az-eloy-zoning,Sec. 21-2-2.2; Sec. 21-2-2.4 (Table 21-2-2.4.B.),,official-html,extracted,,"Max density 24 du/ac (10 du min, 24 du max). Min site area 7,000 sf (700 sf/du for condominiums). Lot width not specified in table (shown as '-'). Street side setback 10 ft. Front 10 ft, side 10 ft, rear 25 ft."
az-eloy:r1-12,az-eloy,City of Eloy,R1-12,Single-Family Residential (R1-12),residential,12000,75,3.63,TBD,30,30,TBD,20,10,20,,az-eloy-zoning,Sec. 21-2-2.2; Sec. 21-2-2.4 (Table 21-2-2.4.B.),,official-html,extracted,,"Max density 1 du/12,000 sf (=~3.63 du/ac). Front setback 15 ft for side-entry garage and/or covered front porch. Street side setback 20 ft."
az-eloy:r1-43,az-eloy,City of Eloy,R1-43,Estate Residential (R1-43),residential,43560,145,1,TBD,25,35,TBD,30,20,30,,az-eloy-zoning,Sec. 21-2-2.2; Sec. 21-2-2.4 (Table 21-2-2.4.B.),,official-html,extracted,,"Max density 1 du/1 acre (=1 du/ac). Lot area 43,560 sf (1 ac). Street side setback 40 ft."
az-eloy:r1-54,az-eloy,City of Eloy,R1-54,Estate Residential (R1-54),residential,54450,150,0.8,TBD,20,35,TBD,30,20,30,,az-eloy-zoning,Sec. 21-2-2.2; Sec. 21-2-2.4 (Table 21-2-2.4.B.),,official-html,extracted,,"Max density 1 du/1.25 acres (=0.8 du/ac). Lot area 54,450 sf (~1.25 ac). Street side setback 40 ft."
az-eloy:r1-6,az-eloy,City of Eloy,R1-6,Single-Family Residential (R1-6),residential,6000,50,7.26,TBD,40,30,TBD,20,5,20,,az-eloy-zoning,Sec. 21-2-2.2; Sec. 21-2-2.4 (Table 21-2-2.4.B.),,official-html,extracted,,"Max density 1 du/6,000 sf (=~7.26 du/ac). Side setback 5 ft (20 ft for front-entry garages/carports per note). Street side setback 15 ft."
az-eloy:rr-2.5,az-eloy,City of Eloy,RR-2.5,Rural Residential (RR-2.5),residential,108900,225,0.4,TBD,15,35,TBD,40,25,40,,az-eloy-zoning,Sec. 21-2-2.2; Sec. 21-2-2.4 (Table 21-2-2.4.B.),,official-html,extracted,,"Max density 1 du/2.5 acres (=0.4 du/ac). Lot area 108,900 sf (2.5 ac). Street side setback 50 ft."
az-eloy:rr-20,az-eloy,City of Eloy,RR-20,Rural Residential (RR-20),residential,871200,660,0.05,TBD,10,35,TBD,60,60,60,,az-eloy-zoning,Sec. 21-2-2.2; Sec. 21-2-2.4 (Table 21-2-2.4.B.),,official-html,extracted,,"Max density 1 du/20 acres (=0.05 du/ac). Lot area 871,200 sf (20 ac). Street side setback 60 ft. Building separation per Sec. 21-3-2.4."
az-eloy:rr-5,az-eloy,City of Eloy,RR-5,Rural Residential (RR-5),residential,217800,330,0.2,TBD,15,35,TBD,50,30,50,,az-eloy-zoning,Sec. 21-2-2.2; Sec. 21-2-2.4 (Table 21-2-2.4.B.),,official-html,extracted,,"Max density 1 du/5 acres (=0.2 du/ac). Lot area 217,800 sf (5 ac). Street side setback 50 ft."
az-florence:b-1,az-florence,Town of Florence,B-1,Neighborhood Business (B-1),commercial,TBD,50,TBD,TBD,TBD,35,TBD,20,10,10,,az-florence-zoning,§ 150.057,,official-html,extracted,,Min Site Area N/A; Min Lot Area N/A (TBD). Min Lot Depth 75 ft. Street-side setback 12 ft. Uses not enumerated within this section.
az-florence:b-2,az-florence,Town of Florence,B-2,Highway Business Commercial (B-2),commercial,TBD,TBD,TBD,TBD,60,40,3,25,10,10,,az-florence-zoning,§ 150.060,,official-html,extracted,,Lot coverage 60%. Front setback 25 ft (front 10 ft maintained as open space). Side 10 ft; Street Side 20 ft; Rear 10 ft. Max Height 3 stories and/or 40 ft; up to 50 ft with conditional use permit. Min Site Area / Min Lot Area / Min Lot Width / Min Lot Depth N/A (TBD).
az-florence:dc,az-florence,Town of Florence,DC,Downtown Commercial (DC),downtown,TBD,TBD,TBD,TBD,TBD,35,TBD,0,0,10,,az-florence-zoning,§ 150.059,,official-html,extracted,,"Setbacks recorded are Commercial land use (Front 0, Side 0, Street Side 0, Rear 10). Residential land use setbacks are all 0 ft. Zero lot line encouraged. Max Height 35 ft from grade. Min Site Area / Min Lot Area / Min Lot Width / Min Lot Depth all N/A (TBD). Additional conditional uses governed by Table 150.047(B); not enumerated."
az-florence:hi,az-florence,Town of Florence,HI,Heavy Industrial (HI),industrial,TBD,200,TBD,TBD,TBD,60,TBD,50,25,25,,az-florence-zoning,§ 150.065,,official-html,extracted,,Front 50 ft (50 ft maintained as open space). Side 25 ft. Street Side 50 ft. Rear 25 ft. Lot Coverage N/A. Min Site Area 10 acres. Min Lot Area N/A. Min Lot Depth 200 ft. Max Height 60 ft; up to 50 ft additional with conditional use permit per note.
az-florence:li,az-florence,Town of Florence,LI,Light Industrial (LI),industrial,TBD,200,TBD,TBD,TBD,60,TBD,50,25,25,,az-florence-zoning,§ 150.064,,official-html,extracted,,Front 50 ft (50 ft maintained as open space). Side 25 ft / 0 ft if alleyway. Street Side 50 ft / 20 ft if alleyway. Rear 25 ft. Lot Coverage N/A. Min Site Area 5 acres. Min Lot Area N/A. Min Lot Depth 200 ft. Max Height 60 ft (note text 'up to 50 ft with CUP' appears inconsistent with 60 ft base; recorded base as 60 ft per table).
az-florence:mfr,az-florence,Town of Florence,MFR,Multiple-Family Residential (MFR),residential,3000,90,TBD,TBD,TBD,35,TBD,40,20,10,,az-florence-zoning,§ 150.055,,official-html,extracted,,"Min Lot Area 3,000 sf per unit (all other uses minimum 10,000 sf lot area). Min Site Area N/A. Min Lot Depth 120 ft. Interior Side setback 20 ft (between structures). Street-side setback 25 ft."
az-florence:mhs,az-florence,Town of Florence,MHS,Manufactured Home Subdivision (MHS),residential,4000,40,TBD,TBD,TBD,30,TBD,10,5,10,,az-florence-zoning,§ 150.056,,official-html,extracted,,"Min Lot Area 4,000 sf. Min Site Area 8 acres. Min Lot Depth 100 ft. Street-side setback 10 ft. Conditional uses: Reserved."
az-florence:no,az-florence,Town of Florence,NO,Neighborhood Office (NO),commercial,TBD,50,TBD,TBD,TBD,30,TBD,20,6,20,,az-florence-zoning,§ 150.058,,official-html,extracted,,Front setback 20 ft from all streets (front 10 ft maintained as open space). Interior Side setback 6 ft (unless lesser yard legally established). Street-side setback 10 ft. Min Site Area / Min Lot Area N/A (TBD). Min Lot Depth 50 ft.
az-florence:pi,az-florence,Town of Florence,PI,Public/Institutional (P/I),special,TBD,TBD,TBD,TBD,TBD,TBD,TBD,20,20,20,,az-florence-zoning,§ 150.063,,official-html,extracted,,"Setbacks Front 20 / Side 20 / Street Side 20 / Rear 20 ft. Lot Coverage N/A. Min Site Area, Min Lot Area, Min Lot Width, Min Lot Depth, Max Height all N/A (TBD). Code zone code rendered as 'PI' in § 150.045 list and 'P/I' in the standards table."
az-florence:po,az-florence,Town of Florence,PO,Professional Office (PO),commercial,21780,200,TBD,TBD,60,35,TBD,20,10,10,,az-florence-zoning,§ 150.062,,official-html,extracted,,"Lot coverage 60%. Min Lot Area 1/2 acre (21,780 sf). Min Site Area 4 acres. Min Lot Depth 100 ft. Front 20 ft (front 10 ft open space). Side 10 ft / 0 ft if alleyway. Street Side 20 ft / 10 ft if alleyway. Rear 10 ft. Permitted-use list partly governed by use tables; permitted array left empty (not fully enumerable from prose)."
az-florence:r-2,az-florence,Town of Florence,R-2,Neighborhood Multi-Family (R-2),residential,4500,75,TBD,TBD,TBD,30,TBD,20,12,10,,az-florence-zoning,§ 150.054,,official-html,extracted,,"Min Lot Area 4,500 sf per unit. Min Site Area 3 acres. Min Lot Depth 120 ft. Interior Side setback 12 ft (between structures). Street-side setback 15 ft."
az-florence:r1-18,az-florence,Town of Florence,R1-18,Single-Family Residential (R1-18),residential,18000,65,TBD,TBD,TBD,30,TBD,20,5,12,,az-florence-zoning,§ 150.052,,official-html,extracted,,"Interior Side setback stated as '13 total feet, 5 feet minimum'; side_setback_ft records the 5 ft minimum. Min Lot Area 18,000 sf. Min Lot Depth 110 ft. Min Site Area N/A. Street-side setback 15 ft."
az-florence:r1-6,az-florence,Town of Florence,R1-6,Single-Family Residential (R1-6),residential,6000,45,TBD,TBD,TBD,30,TBD,20,10,12,,az-florence-zoning,§ 150.053,,official-html,extracted,,"Min Lot Area 6,000 sf. Min Lot Depth 100 ft. Min Site Area N/A. Street-side setback 12 ft (same as Interior Side)."
az-florence:r1-r,az-florence,Town of Florence,R1-R,Single-Residential Ranchette (R1-R),residential,54450,100,TBD,TBD,TBD,30,TBD,30,25,20,,az-florence-zoning,§ 150.050,,official-html,extracted,,"Min Lot Area 1-1/4 acres (54,450 sf). Min Lot Depth 150 ft. Min Site Area N/A. Street-side setback 20 ft. Side setback shown is Interior Side (25 ft); Street Side 20 ft."
az-florence:ra-10,az-florence,Town of Florence,RA-10,Rural Agricultural (RA-10),agricultural,435600,200,TBD,TBD,TBD,30,TBD,50,50,50,,az-florence-zoning,§ 150.048,,official-html,extracted,,"Min Lot Area 10 acres (435,600 sf). Min Lot Depth 200 ft. Min Site Area N/A. Street-side setback 50 ft. Permitted/conditional uses governed by use-regulation table in § 150.047(A); table not enumerated here."
az-florence:ra-4,az-florence,Town of Florence,RA-4,Rural Agricultural (RA-4),agricultural,174240,150,TBD,TBD,TBD,30,TBD,40,20,40,,az-florence-zoning,§ 150.049,,official-html,extracted,,"Min Lot Area 4 acres (174,240 sf). Min Lot Depth 150 ft. Min Site Area N/A. Street-side setback 40 ft. Permitted/conditional uses governed by use-regulation table in § 150.047(A); table not enumerated here."
az-florence:rres,az-florence,Town of Florence,RRES,Rural Residential Equestrian Subdivision (RRES),residential,42000,60,TBD,TBD,TBD,30,TBD,20,10,10,,az-florence-zoning,§ 150.051,,official-html,extracted,,"Principal-structure setbacks shown. Min Lot Area 42,000 sf. Min Site Area 10 acres. Min Lot Depth 100 ft. Street-side setback 10 ft. Accessory-structure setbacks differ (Front 60, sides 10, rear 10; accessory max height 20 ft). Additional conditional uses governed by Table 150.047(A); not enumerated."
az-florence:trc,az-florence,Town of Florence,TRC,Tourist Commercial (TRC),commercial,21780,200,TBD,TBD,60,35,2,20,20,20,,az-florence-zoning,§ 150.061,,official-html,extracted,,"Lot coverage 60%. Min Lot Area 1/2 acre (21,780 sf). Min Site Area 5 acres. Min Lot Depth 100 ft. Front 20 ft (front 10 ft open space). Side 20 ft / 0 ft if alleyway. Street Side 20 ft / 10 ft if alleyway. Rear 20 ft. Max Height 2 stories / 35 ft."
az-fountain-hills:c-1,az-fountain-hills,Town of Fountain Hills,C-1,Neighborhood Commercial Professional District,commercial,6000,60,TBD,TBD,60,25,TBD,25,0,0,,az-fountain-hills-zoning,ZO 12.13,,official-html,extracted,,"Distance between buildings per UBC. F/S/SS/R=25/0/10/0. Min lot 6,000 sf. Height 25. Setbacks increase adjacent to residential (notes b,c)."
az-fountain-hills:c-2,az-fountain-hills,Town of Fountain Hills,C-2,Intermediate Commercial District,commercial,6000,60,TBD,TBD,60,40,TBD,10,0,0,,az-fountain-hills-zoning,ZO 12.13,,official-html,extracted,,"Distance between buildings per UBC. F/S/SS/R=10/0/0/0. Min lot 6,000 sf. Height 40. Setbacks increase adjacent to residential (notes a,b,c,d)."
az-fountain-hills:c-3,az-fountain-hills,Town of Fountain Hills,C-3,General Commercial District,commercial,6000,60,TBD,TBD,60,40,TBD,10,0,0,,az-fountain-hills-zoning,ZO 12.13,,official-html,extracted,,"Distance between buildings per UBC. F/S/SS/R=10/0/0/0. Min lot 6,000 sf. Height 40. Setbacks increase adjacent to residential (notes a,b,c,d)."
az-fountain-hills:c-c,az-fountain-hills,Town of Fountain Hills,C-C,Common-Commercial District,commercial,1125,23,TBD,TBD,100,25,TBD,0,0,0,,az-fountain-hills-zoning,ZO 12.13,,official-html,extracted,,"Distance between buildings per UBC. F/S/SS/R=0/0/0/0. Min lot 1,125 sf, width 23. Height 25. Lot coverage 100% (excluding sight angles/easements, note g)."
az-fountain-hills:c-o,az-fountain-hills,Town of Fountain Hills,C-O,Commercial Office District,commercial,12000,60,TBD,TBD,35,30,TBD,10,5,5,,az-fountain-hills-zoning,ZO 12.13,,official-html,extracted,,"Distance between buildings per UBC. F/S/SS/R=10/5/5/5. Min lot 12,000 sf. Height 30 (15 ft if within 20 ft of rural/residential zone, note e). Setbacks increase adjacent to residential (notes a,b,c,f)."
az-fountain-hills:ind-1,az-fountain-hills,Town of Fountain Hills,IND-1,Planned Industrial District,industrial,35000,150,TBD,TBD,60,40,TBD,25,25,0,,az-fountain-hills-zoning,ZO 13.07,,official-html,extracted,,"F/S/SS/R=25/25/25/0. Min lot 35,000 sf. Height 40. Front/street-side 40 if abutting highway/collector, else 25 or bldg height (note a). Side 30 incl 10 ft landscaped if adjacent to residential (note b). Rear 0, but 50 (25 landscaped) if adjacent to residential (note d). Coverage 60% inclusive of buildings/parking/accessory (note e)."
az-fountain-hills:ind-2,az-fountain-hills,Town of Fountain Hills,IND-2,Light Industrial District,industrial,6000,60,TBD,TBD,60,40,TBD,25,10,25,,az-fountain-hills-zoning,ZO 13.07,,official-html,extracted,,"F/S/SS/R=25/10/25/25. Min lot 6,000 sf. Height 40. Side 10 or bldg height (note c). Coverage 60%."
az-fountain-hills:l-1,az-fountain-hills,Town of Fountain Hills,L-1,Lodging District,commercial,43560,145,TBD,TBD,15,22,TBD,40,30,60,,az-fountain-hills-zoning,ZO 16.11,,official-html,extracted,,"Min lot 43,560 sf (1 acre); width 145. F/S/SS/R=40/30/40/60. Distance between bldgs 10. Min area/room 8,712 sf. Height 22. Coverage 15%."
az-fountain-hills:l-2,az-fountain-hills,Town of Fountain Hills,L-2,Lodging District,commercial,43560,145,TBD,TBD,20,30,TBD,40,30,60,,az-fountain-hills-zoning,ZO 16.11,,official-html,extracted,,"Min lot 43,560 sf (1 acre); width 145. F/S/SS/R=40/30/40/60. Distance between bldgs 10. Min area/room 4,356 sf. Height 30. Coverage 20%."
az-fountain-hills:l-3,az-fountain-hills,Town of Fountain Hills,L-3,Lodging District,commercial,43560,145,TBD,TBD,25,30,TBD,40,30,60,,az-fountain-hills-zoning,ZO 16.11,,official-html,extracted,,"Min lot 43,560 sf (1 acre); width 145. F/S/SS/R=40/30/40/60. Distance between bldgs 10. Min area/room 2,904 sf. Height 30. Coverage 25%."
az-fountain-hills:m-1,az-fountain-hills,Town of Fountain Hills,M-1,Multiple-Family Residential District,residential,24000,150,8,TBD,50,30,TBD,30,10,30,,az-fountain-hills-zoning,ZO 11.10,,official-html,extracted,,"Max density derived: 43,560 / min area per DU (5,445 sf) = 8.0 du/ac. Min lot 24,000 sf; min area/DU 5,445. Front/street-side/rear = 1.5x abutting wall height or stated min, whichever greater (note a); side 10 or abutting wall height (note b). Height 30 (SUP allows non-residential up to 40, note e)."
az-fountain-hills:m-2,az-fountain-hills,Town of Fountain Hills,M-2,Multiple-Family Residential District,residential,24000,150,10,TBD,50,30,TBD,30,10,30,,az-fountain-hills-zoning,ZO 11.10,,official-html,extracted,,"Max density derived: 43,560 / 4,356 = 10.0 du/ac. Min lot 24,000 sf; min area/DU 4,356. Height 30 (SUP up to 40, note e). Setback notes a,b apply."
az-fountain-hills:m-3,az-fountain-hills,Town of Fountain Hills,M-3,Multiple-Family Residential District,residential,24000,150,12,TBD,50,30,TBD,30,10,30,,az-fountain-hills-zoning,ZO 11.10,,official-html,extracted,,"Max density derived: 43,560 / 3,630 = 12.0 du/ac. Min lot 24,000 sf; min area/DU 3,630. Height 30 (SUP up to 40, note e). Setback notes a,b apply."
az-fountain-hills:mh,az-fountain-hills,Town of Fountain Hills,MH,Mobile Home District,residential,43560,145,TBD,TBD,15,15,TBD,40,30,40,,az-fountain-hills-zoning,ZO 15.09,,official-html,extracted,,"Min lot 1 acre (43,560 sf). Width 145. Height 15. F/S/SS/R=40/30/40/40. Coverage 15%. Distance between bldgs 6."
az-fountain-hills:osc,az-fountain-hills,Town of Fountain Hills,OSC,Open Space Conservation District,open-space,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,,az-fountain-hills-zoning,ZO 3.01; Ch. 9,,official-html,extracted,,Open Space district per ZO 3.01. Dimensional standards section (Ch. 9) is behind a Cloudflare challenge on the live site and not in the Wayback archive; dimensional fields could not be verified and are left TBD. Do not infer.
az-fountain-hills:osp,az-fountain-hills,Town of Fountain Hills,OSP,Open Space Preservation District,open-space,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,,az-fountain-hills-zoning,ZO 3.01; Ch. 9,,official-html,extracted,,Open Space district per ZO 3.01. Dimensional standards section (Ch. 9) Cloudflare-blocked and not in Wayback; left TBD. Do not infer.
az-fountain-hills:osr,az-fountain-hills,Town of Fountain Hills,OSR,Open Space Recreational District,open-space,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,,az-fountain-hills-zoning,ZO 3.01; Ch. 9,,official-html,extracted,,Open Space district per ZO 3.01. Dimensional standards section (Ch. 9) is Cloudflare-blocked and not in the Wayback archive; left TBD. Do not infer.
az-fountain-hills:r-190,az-fountain-hills,Town of Fountain Hills,R-190,"Single-Family Residential (190,000 sf/DU)",residential,190000,300,TBD,TBD,5,30,TBD,60,30,60,,az-fountain-hills-zoning,ZO 10.09,,official-html,extracted,,"Max height 30 ft (canyon-side exceptions, note f). Distance between bldgs 6. F/S/SS/R=60/30/60/60. Min lot 190,000 sf. Rear 60 or bldg height, whichever greater (note d). Table 10.09 labels district R1-190."
az-fountain-hills:r-2,az-fountain-hills,Town of Fountain Hills,R-2,Two-Family Residential District,residential,6000,60,10.89,TBD,50,30,TBD,20,5,25,,az-fountain-hills-zoning,ZO 11.10,,official-html,extracted,,"Max density derived: 43,560 / 4,000 = 10.89 du/ac. Min lot 6,000 sf; min area/DU 4,000. Front/street-side/rear = stated min or building height, whichever greater (note d). Height 30."
az-fountain-hills:r-3,az-fountain-hills,Town of Fountain Hills,R-3,Multiple-Family Residential District,residential,6000,60,14.52,TBD,50,30,TBD,30,10,30,,az-fountain-hills-zoning,ZO 11.10,,official-html,extracted,,"Max density derived: 43,560 / 3,000 = 14.52 du/ac. Min lot 6,000 sf; min area/DU 3,000. Height 30 (SUP up to 40, note e). Setback notes a,b apply."
az-fountain-hills:r-4,az-fountain-hills,Town of Fountain Hills,R-4,Multiple-Family Residential District,residential,6000,60,21.78,TBD,50,30,TBD,30,10,30,,az-fountain-hills-zoning,ZO 11.10,,official-html,extracted,,"Max density derived: 43,560 / 2,000 = 21.78 du/ac. Min lot 6,000 sf; min area/DU 2,000. Height 30 (SUP up to 40, note e). Setback notes a,b apply."
az-fountain-hills:r-5,az-fountain-hills,Town of Fountain Hills,R-5,Multiple-Family Residential District,residential,6000,60,25.03,TBD,50,30,TBD,30,10,30,,az-fountain-hills-zoning,ZO 11.10,,official-html,extracted,,"Max density derived: 43,560 / 1,740 = 25.03 du/ac. Min lot 6,000 sf; min area/DU 1,740. Height 30 (SUP up to 40, note e). Setback notes a,b apply."
az-fountain-hills:r1-10,az-fountain-hills,Town of Fountain Hills,R1-10,"Single-Family Residential (10,000 sf/DU)",residential,10000,80,TBD,TBD,30,30,TBD,20,7,25,,az-fountain-hills-zoning,ZO 10.09,,official-html,extracted,,"Max height 30 (note f). Distance between bldgs 6. F/S/SS/R=20/7/20/25. Min lot 10,000 sf. Rear 25 or bldg height (note d)."
az-fountain-hills:r1-10a,az-fountain-hills,Town of Fountain Hills,R1-10A,"Single-Family Residential (10,000 sf/DU)",residential,10000,80,TBD,TBD,40,30,TBD,20,7,20,,az-fountain-hills-zoning,ZO 10.09,,official-html,extracted,,"Max height 30 (note f). Distance between bldgs 6. F/S/SS/R=20/7/20/20. Min lot 10,000 sf. Flag lots may use 30 ft width (note a). Rear 20 or bldg height (note d)."
az-fountain-hills:r1-18,az-fountain-hills,Town of Fountain Hills,R1-18,"Single-Family Residential (18,000 sf/DU)",residential,18000,120,TBD,TBD,25,30,TBD,20,10,30,,az-fountain-hills-zoning,ZO 10.09,,official-html,extracted,,"Max height 30 (note f). Distance between bldgs 6. F/S/SS/R=20/10/20/30. Min lot 18,000 sf. Rear 30 or bldg height (note d)."
